1880624041, 0.0, 0.0, 0.0, 0.0, 
1880624042, 0.-48, 0.-6, 1.-26, 0.-76, 
1880624043, 0.-85, 0.0, 2.1, -1.1, 
1880624044, 0.-97, 0.17, 2.3, -1.97, 
1880624045, 0.-84, 0.2, 2.5, -1.99, 
1880624046, 0.-76, 0.-8, 2.4, -1.1, 
1880624047, 0.-74, 0.-12, 2.3, -1.2, 
1880624048, 0.-73, 0.-13, 2.3, -1.3, 
1880624049, 0.-71, 0.-15, 2.1, -1.3, 
1880624050, 0.-72, 0.-14, 2.-1, -1.3, 
1880624051, 0.-71, 0.-11, 2.-6, -1.4, 
1880624052, 0.-69, 0.-9, 2.-14, -1.6, 
1880624053, 0.-67, 0.-11, 2.-16, -1.7, 
1880624054, 0.-67, 0.-12, 2.-13, -1.7, 
1880624055, 0.-69, 0.-13, 2.-10, -1.6, 
1880624056, 0.-13, 0.-19, 0.97, 0.-36, 
1880624057, 0.49, 0.-56, -1.-18, 1.-88, 
1880624058, 0.46, 0.-76, -1.11, 2.-30, 
1880624059, 0.51, 0.-87, -1.4, 2.-26, 
1880624060, 0.-14, 0.-46, 0.60, 0.18, 
1880624061, 0.-77, 0.-13, 2.11, -1.1, 
1880624062, 0.-77, 0.-12, 2.11, -1.0, 
1880624063, 0.-77, 0.-13, 2.13, -1.99, 
1880624064, 0.-78, 0.-12, 2.13, -1.99, 
1880624065, 0.-78, 0.-12, 2.12, -1.99, 
1880624066, 0.-78, 0.-11, 2.12, -1.99, 
1880624067, 0.-79, 0.-10, 2.12, -1.99, 
1880624068, 0.-77, 0.-11, 2.8, -1.1, 
0, 0.0, 0.0, 0.0, 0.0, 
